postal_code,walk_score,bike_score,transit_score
T3K 5C2,11,62,44
T3K 6B7,33,58,48
T2X 2M3,19,49,42
T2Z 0G3,17,44,42
T2R 0P4,89,96,72
T2J 4S4,26,66,34
T3B 2V9,48,84,59
T2R 0P6,93,94,74
T2X 2C3,1,50,21
T2Z 1H2,48,76,45
T3B 0H1,56,81,40
T3A 4Z8,25,53,29
T3K 5R7,41,56,51
T2Z 1M3,20,43,39
T3G 4N3,13,37,36
T2B 1A4,68,63,52
T3P 1L8,0,30,0
T2S 0M4,72,97,57
T2J 4Z4,11,64,29
T3K 3G3,15,54,29
T3K 5Z1,50,57,53
T2K 3R1,61,89,52
T3B 4V7,16,79,45
T3A 5M4,16,62,38
T2T 3Y8,79,85,50
T3H 0C8,34,60,30
T2N 2V1,49,77,58
T3M 1E2,6,40,39
T2T 4C5,53,81,42
T3E 4L2,49,73,53
T2E 2K2,34,78,46
T2J 3E9,19,59,30
T2Z 1E4,47,76,46
T3H 4Z1,24,70,53
T2J 6R2,46,70,33
T2Y 3T3,19,37,33
T2B 1L5,64,64,52
T3H 0X1,25,50,44
T2T 1P6,48,78,46
T2T 4J1,39,80,36
T2T 1H5,53,75,48
T1Y 6S5,49,72,60
T2P 0E6,91,95,77
T3C 0T1,90,97,69
T2Z 4W5,42,77,46
T2V 3G1,42,82,52
T2M 4X8,72,95,59
T3H 0T8,25,50,44
T2Y 5H1,36,54,33
T2K 0W6,37,79,52
T2J 7J4,37,78,54
T3G 1P2,32,68,40
T3G 0E6,52,72,36
T3H 3B5,26,68,54
T3B 4J5,30,72,35
T2Y 3K4,55,66,60
T2R 1J7,95,95,76
T3K 5N1,26,62,38
T3J 4A2,31,55,60
T3C 1A2,86,88,63
T3G 4B5,46,64,50
T2A 5Z7,60,52,48
T3C 1L2,59,93,59
T3B 5C4,21,81,49
T2L 0Y2,44,87,54
T2T 2B9,68,84,45
T2Y 4J4,48,61,59
T3C 2H5,71,89,61
T2X 2M7,16,44,40
T2V 4C4,25,57,35
T2J 0H9,66,71,56
T2K 1K6,49,86,53
T2B 3C2,18,36,42
T2E 1P8,81,84,54
T3A 5Y4,37,39,37
T2V 0G8,66,78,54
T3H 5X4,10,56,24
T3H 0Y4,25,50,44
T3G 3C9,32,64,37
T3M 2B4,8,55,34
T2N 3M8,56,90,59
T3H 3N1,35,62,43
T3A 0C7,51,85,55
T2T 0L3,89,83,53
T2Y 0A1,13,63,33
T3G 3H4,10,59,38
T3B 0Y5,59,76,46
T3M 2V3,8,55,34
T2E 0N4,79,78,54
T1Y 4Z2,44,72,45
T3H 4Y8,19,45,39
T2A 5P9,44,72,44
T2Z 4R7,20,64,35
T3G 4N9,28,50,45
T3R 1N3,23,55,38
T2T 1E7,55,77,51
T3M 0A5,46,69,40
T2P 5G4,91,96,76
T3C 2Z1,40,82,55
T2J 0Z1,37,64,37
T3B 2T2,45,77,41
T3E 4Z6,43,71,47
T3P 0M8,2,38,30
T2G 1S2,26,57,38
T3E 2X4,71,90,57
T2W 4E6,17,67,29
T1Y 5H9,37,74,59
T1Y 1R8,37,70,54
T3C 0N3,92,10,70
T2Y 1A6,76,79,55
T2N 1E1,27,76,53
T2X 0A4,27,63,32
T3A 5T1,3,22,38
T3H 2L2,30,64,36
T2R 0J5,90,96,73
T3B 0S6,66,92,46
T3P 0P5,0,30,0
T2W 2S6,25,57,51
T3K 0T1,28,42,41
T2K 0E1,46,76,47
T3J 3L8,28,65,44
T2C 4B2,37,66,41
T3N 0S8,0,26,18
T2A 0C2,32,77,57
T2N 1N3,43,84,62
T3H 3L1,45,77,34
T3R 0V2,19,45,39
T3A 4X4,N/A,N/A,N/A
T2W 5P8,25,63,25
